dni;cuil;apellidoNombre;fechaNacimiento;sexo;fechaAfiliacion;categoria;fechaUltimaCuota;estado;plan;emailTutor
30123456;20-30123456-3;Perez Juan Carlos;15/03/1985;M;20/01/2010;ADULTO;01/05/2026;A;PREMIUM;
25789012;27-25789012-6;Gomez, Maria Laura;22/07/1990;F;15/06/2012;ADULTO;15/04/2026;A;VIP;
32456789;27-32456789-0;Rodriguez ana sofia;05/11/1988;F;10/03/2015;ADULTO;10/05/2026;A;FAMILY;
45123789;20-45123789-7;Martinez, Lucas Pedro;30/01/2010;M;15/02/2024;MENOR;01/04/2026;A;BASIC;tutor.lucas@gmail.com
42345678;27-42345678-2;Fernandez Camila;18/05/2009;F;20/08/2023;MENOR;01/05/2026;A;PREMIUM;mama.cami@hotmail.com.ar
33567890;20-33567890-8;Lopez, Diego Armando;14/06/1975;M;01/01/2005;ADULTO;20/02/2026;A;FAMILY;
28901234;27-28901234-1;Garcia, Sofia Elena;10/09/1992;F;05/04/2018;ADULTO;05/01/2026;A;VIP;
35234567;23-35234567-9;TORRES roberto;25/12/1982;M;10/07/2017;ADULTO;14/02/2026;A;BASIC;
40567123;27-40567123-4;Sanchez, Valentina;03/04/2011;F;15/05/2024;MENOR;10/05/2026;A;FAMILY;valen.papa@yahoo.com
26345678;20-26345678-6;Diaz, Ricardo Hernan;19/02/1995;M;30/11/2019;ADULTO;25/04/2026;A;BASIC;
38901567;27-38901567-4;Romero, Lucia Belen;07/12/1987;F;14/08/2014;ADULTO;01/05/2026;A;PREMIUM;
27456123;20-27456123-9;Castro, Maximiliano;28/08/1978;O;01/06/2008;ADULTO;30/04/2026;A;VIP;
41234890;20-41234890-8;Morales, Tomas;15/11/2008;M;01/03/2022;MENOR;15/03/2026;A;PREMIUM;mama.morales@gmail.com
29876543;27-29876543-3;Vargas, Florencia;12/05/1991;F;08/10/2016;ADULTO;01/01/2026;A;FAMILY;
34567823;27-34567823-4;Acosta, Maria Belen;20/02/1989;F;10/06/2013;ADULTO;15/04/2026;A;BASIC;
37123456;20-37123456-0;Silva, Andres Felipe;08/03/1990;M;22/05/2020;ADULTO;05/02/2026;A;BASIC;
31987654;20-31987654-6;Aguirre, Aldo;10/10/1980;M;15/09/2011;ADULTO;01/04/2026;A;BASIC;
36234567;20-36234567-8;Argente, Pepe;05/07/1986;M;12/12/2015;ADULTO;20/04/2026;A;PREMIUM;
123456;20-00123456-1;Cabrera, Juan;15/08/1990;M;20/10/2015;ADULTO;15/04/2026;A;BASIC;
123456789;20-123456789-7;Mendoza, Luis;10/01/1985;M;20/03/2010;ADULTO;01/05/2026;A;VIP;
28765432;20-28765432-5;Perez Lopez Juan;31/02/1990;M;15/06/2013;ADULTO;01/05/2026;A;BASIC;
30456789;23-30456789-9;Ortiz, Mariano;15/06/2020;M;20/01/2024;MENOR;01/05/2026;A;BASIC;mama.mariano@gmail.com
31234567;20-31234567-7;Ruiz, Pablo;05/03/1985;X;10/06/2010;ADULTO;15/04/2026;A;VIP;
32109876;20-32109876-3;Herrera, Sebastian;20/05/1990;M;15/03/1985;ADULTO;01/05/2026;A;BASIC;
33098765;27-33098765-6;Ramirez, Carolina;15/07/1988;F;20/10/2015;ADULTO;15/06/2026;A;FAMILY;
34987654;27-34987654-5;Lugo, Daniela;08/04/1995;F;20/05/2018;ADULTO;01/05/2026;A;PLATINUM;
40234567;20-40234567-6;Benitez, Mateo;10/08/2010;M;15/03/2022;MENOR;01/04/2026;A;BASIC;
42876543;27-42876543-0;Quiroga, Bianca;05/05/2010;F;15/06/2023;MENOR;15/04/2026;A;PREMIUM;tutor sin arroba mal.com
41098765;20-41098765-2;Roldan, Joaquin;12/02/2009;M;20/01/2023;MENOR;01/05/2026;A;FAMILY;tutornoarrobacom
35876543;20-35876543-3;Vega, Esteban;25/11/1985;M;30/08/2050;ADULTO;15/04/2026;A;VIP;
